Designator,Mid X,Mid Y,Rotation,Layer
BT1,154.0,-133.0,0.0,bottom
BT2,180.0,-133.0,0.0,bottom
C1,158.5,-103.0,0.0,top
C2,175.097349,-103.0,0.0,top
D1,112.73,-125.0,0.0,top
D2,107.73,-79.0,0.0,top
D3,128.73,-79.0,0.0,top
D4,124.27,-125.0,0.0,top
D5,158.132651,-81.0,0.0,top
D6,174.73,-81.0,0.0,top
Q1,107.0,-102.635,0.0,top
Q10,158.132651,-91.635,180.0,top
Q11,158.132651,-114.365,0.0,top
Q12,174.0,-114.635,0.0,top
Q2,128.73,-102.365,0.0,top
Q3,107.08,-90.635,0.0,top
Q4,128.73,-90.635,180.0,top
Q5,134.73,-114.365,0.0,top
Q6,134.73,-123.365,0.0,top
Q7,102.0,-114.635,0.0,top
Q8,102.0,-123.635,0.0,top
Q9,174.73,-91.635,180.0,top
R10,100.0,-79.0,270.0,top
R11,121.25,-78.81,270.0,top
R12,112.19,-114.0,180.0,top
R13,124.19,-114.0,180.0,top
R14,106.19,-133.0,0.0,top
R15,131.0,-133.0,180.0,top
R16,179.19,-70.0,0.0,top
R17,150.402651,-100.0,270.0,top
R18,150.402651,-86.19,270.0,top
R19,182.0,-92.81,270.0,top
R20,150.402651,-115.0,270.0,top
R21,182.0,-115.0,270.0,top
R22,154.0,-70.0,0.0,top
R3,99.0,-102.81,90.0,top
R4,114.0,-102.81,270.0,top
R5,122.0,-102.81,270.0,top
R6,114.0,-90.81,270.0,top
R7,122.0,-91.0,270.0,top
R8,99.0,-91.0,270.0,top
SW1,107.0,-69.0,0.0,top
SW2,128.0,-69.0,0.0,top
SW3,166.75,-69.25,0.0,top
